City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Nísia Floresta,-6.0911,-35.2086,83.3,74,20,11.5,BR,1619291293
Hobart,-42.8794,147.3294,47.93,76,40,10.36,AU,1619290836
Shimoda,34.6667,138.95,50.97,82,16,3.0,JP,1619291300
Galich,58.3797,42.3475,48.61,75,98,12.64,RU,1619291349
Albany,42.6001,-73.9662,68.61,18,87,4.0,US,1619290743
Westerland,54.9079,8.3033,40.98,65,90,17.27,DE,1619291350
Sept-Îles,50.2001,-66.3821,48.94,43,75,9.22,CA,1619290802
Thompson,55.7435,-97.8558,24.8,50,75,2.3,CA,1619290848
Carnarvon,-24.8667,113.6333,62.6,94,0,6.91,AU,1619290868
Mataura,-46.1927,168.8643,48.0,88,86,4.0,NZ,1619290827
Bemidji,47.4736,-94.8803,41.29,28,1,14.97,US,1619291254
Tasiilaq,65.6145,-37.6368,37.4,75,75,1.14,GL,1619290843
Traverse City,44.7631,-85.6206,54.1,47,90,10.36,US,1619291108
Bredasdorp,-34.5322,20.0403,53.6,87,96,5.75,ZA,1619290848
Khatanga,71.9667,102.5,32.18,97,100,16.82,RU,1619290870
Qaanaaq,77.484,-69.3632,27.73,69,93,6.49,GL,1619290878
Mount Isa,-20.7333,139.5,68.0,34,1,5.75,AU,1619291341
Nikolskoye,59.7035,30.7861,39.07,70,20,4.47,RU,1619290841
Rikitea,-23.1203,-134.9692,78.58,72,100,16.37,PF,1619290831
Deputatsky,69.3,139.9,7.32,85,100,3.4,RU,1619291262
Atuona,-9.8,-139.0333,80.74,72,0,20.49,PF,1619290876
Ushuaia,-54.8,-68.3,55.4,58,75,12.66,AR,1619290833
Anori,-3.7728,-61.6442,86.27,69,88,2.46,BR,1619291352
Yangambi,0.8102,24.4336,70.68,98,100,2.71,CD,1619291353
Peniche,39.3558,-9.3811,65.05,69,100,8.01,PT,1619290885
Bilibino,68.0546,166.4372,23.54,95,100,1.32,RU,1619291327
Alice Springs,-23.7,133.8833,46.4,71,0,5.75,AU,1619291340
Kapaa,22.0752,-159.319,75.54,73,40,16.11,US,1619290833
East London,-33.0153,27.9116,64.4,88,0,5.75,ZA,1619290802
Loíza,18.4313,-65.8802,84.79,55,40,20.71,PR,1619291145
Mosquera,4.7059,-74.2302,69.8,49,40,11.5,CO,1619291354
Vaini,-21.2,-175.2,69.8,100,20,6.44,TO,1619290835
Xai-Xai,-25.0519,33.6442,70.09,81,72,8.93,MZ,1619291354
Butaritari,3.0707,172.7902,82.47,76,52,12.12,KI,1619290827
Bluff,-46.6,168.3333,48.0,88,100,4.0,NZ,1619290835
Ribeira Grande,38.5167,-28.7,60.8,67,75,20.71,PT,1619290829
Sobolevo,54.4299,31.8996,35.01,77,95,10.49,RU,1619290987
São João da Barra,-21.6403,-41.0511,80.6,65,40,9.22,BR,1619291245
Tevaitoa,-16.7833,-151.5,80.15,73,100,9.51,PF,1619291355
Punta Arenas,-53.15,-70.9167,51.39,71,75,16.11,CL,1619290839
Eyl,7.9803,49.8164,83.39,73,64,9.35,SO,1619291356
Hasaki,35.7333,140.8333,48.69,93,20,4.61,JP,1619291335
Hithadhoo,-0.6,73.0833,83.25,69,13,7.29,MV,1619290864
Rūdsar,37.1376,50.288,60.8,88,90,2.3,IR,1619291356
Severo-Kuril'sk,50.6789,156.125,34.84,96,100,4.54,RU,1619290845
Saskylakh,71.9167,114.0833,31.57,92,96,12.03,RU,1619290835
George Town,5.4112,100.3354,80.69,89,40,3.44,MY,1619290862
Bandarbeyla,9.4942,50.8122,83.55,75,81,8.34,SO,1619291060
Kieta,-6.2167,155.6333,78.64,82,52,0.56,PG,1619291357
Saint-Philippe,-21.3585,55.7679,72.52,88,75,27.63,RE,1619290828
Kabanjahe,3.1001,98.4908,77.0,100,40,2.3,ID,1619291358
Hermanus,-34.4187,19.2345,62.01,81,100,1.99,ZA,1619290841
Ambatolampy,-19.3833,47.4167,64.4,88,75,8.05,MG,1619291358
‘Āhuimanu,21.4447,-157.8378,76.39,69,40,12.66,US,1619291359
Kahului,20.8947,-156.47,70.39,100,40,12.66,US,1619290586
New Norfolk,-42.7826,147.0587,46.08,86,100,2.48,AU,1619290876
Leticia,-4.2153,-69.9406,82.29,89,40,3.44,CO,1619291359
Cape Town,-33.9258,18.4232,60.93,82,0,11.5,ZA,1619291217
Provideniya,64.3833,-173.3,35.51,83,99,0.92,RU,1619290939
Fortuna,40.5982,-124.1573,53.06,87,75,10.36,US,1619290857
Camopi,3.1655,-52.3158,77.16,96,100,3.91,GF,1619291360
Bethel,41.3712,-73.414,69.22,23,1,8.05,US,1619290914
Tura,25.5198,90.2201,75.25,35,100,3.51,IN,1619290870
Genhe,50.7833,121.5167,31.05,57,69,2.68,CN,1619291360
Chokurdakh,70.6333,147.9167,-13.83,97,5,4.36,RU,1619290825
Houston,29.7633,-95.3633,84.27,42,1,14.97,US,1619291129
Leer,8.3018,30.1418,84.54,49,83,2.37,SS,1619291361
Bennettsville,34.6174,-79.6848,63.82,88,90,9.22,US,1619291361
Zhangye,38.9342,100.4517,50.34,35,100,3.89,CN,1619291362
Skibbereen,51.55,-9.2667,53.6,58,40,17.27,IE,1619291265
Orlik,52.5178,99.825,22.6,91,100,1.1,RU,1619291362
Kudahuvadhoo,2.6708,72.8944,83.16,66,7,8.1,MV,1619291147
Castro,-24.7911,-50.0119,72.99,53,65,5.08,BR,1619290847
Pangnirtung,66.1451,-65.7125,33.8,75,1,11.5,CA,1619290884
Muros,42.7762,-9.0603,59.74,70,97,10.0,ES,1619291363
Comodoro Rivadavia,-45.8667,-67.5,66.2,55,75,4.61,AR,1619291302
Flinders,-34.5833,150.8552,51.4,80,0,1.01,AU,1619290970
Port Lincoln,-34.7333,135.8667,57.56,71,0,4.03,AU,1619291364
Dikson,73.5069,80.5464,7.11,95,14,12.24,RU,1619290852
Geraldton,-28.7667,114.6,59.0,94,91,1.14,AU,1619290845
Port Hardy,50.6996,-127.4199,47.5,87,90,3.44,CA,1619291167
Chui,-33.6971,-53.4616,71.38,72,100,6.38,UY,1619290849
Clyde River,70.4692,-68.5914,17.6,93,75,9.22,CA,1619290852
Katsuura,35.1333,140.3,60.21,63,20,10.36,JP,1619290971
Iquique,-20.2208,-70.1431,69.8,56,20,11.5,CL,1619291365
Northam,51.0333,-4.2167,51.67,40,51,1.01,GB,1619291147
San Jose,37.3394,-121.895,64.18,45,75,4.61,US,1619291345
Lompoc,34.6391,-120.4579,54.97,67,69,6.91,US,1619290862
Saint-Pierre,-21.3393,55.4781,73.38,88,75,27.63,RE,1619291265
Garissa,-0.4536,39.6401,85.75,55,99,17.25,KE,1619291365
Villa del Rosario,7.8339,-72.4742,89.6,55,40,13.8,CO,1619291366
Nemuro,43.3236,145.575,36.28,95,100,14.72,JP,1619290976
Amurrio,43.05,-3.0,65.91,35,20,10.36,ES,1619291366
Ilulissat,69.2167,-51.1,41.0,60,40,6.91,GL,1619290837
Avera,33.194,-82.5271,64.6,94,90,6.91,US,1619290860
Busselton,-33.65,115.3333,52.0,89,0,1.95,AU,1619290822
Beroroha,-21.6667,45.1667,76.21,61,0,8.81,MG,1619291233
Kvarkeno,52.0833,59.725,45.63,88,98,7.96,RU,1619291367
Iskar,43.45,24.2667,53.6,76,75,1.95,BG,1619291367
Gonder,12.6,37.4667,68.63,40,87,2.71,ET,1619291368
Jamestown,42.097,-79.2353,59.5,30,1,13.8,US,1619290768
Sri Aman,1.2376,111.4621,77.0,88,91,1.14,MY,1619291368
Kerema,-7.9631,145.7785,76.89,91,90,7.31,PG,1619291368
Arraial do Cabo,-22.9661,-42.0278,78.8,73,20,12.66,BR,1619290838
Arboledas,7.6423,-72.7994,89.6,55,40,13.8,CO,1619291369
Airai,-8.9266,125.4092,57.27,92,51,2.75,TL,1619290843
Verkhnyaya Inta,65.9811,60.3094,37.49,77,71,9.33,RU,1619291369
Hilo,19.7297,-155.09,67.62,83,90,6.91,US,1619290840
Ayr,55.4627,-4.6339,56.7,54,0,12.66,GB,1619291370
Mar del Plata,-38.0023,-57.5575,64.67,59,40,14.97,AR,1619290751
Malé,4.1748,73.5089,84.2,79,20,8.05,MV,1619291370
Ilebo,-4.3167,20.5833,71.87,98,92,2.28,CD,1619291371
Hamilton,39.1834,-84.5333,51.64,71,90,3.44,US,1619290692
Rundu,-17.9333,19.7667,65.41,34,0,5.21,NA,1619291371
Saint Paul Harbor,57.79,-152.4072,42.8,87,90,2.75,US,1619290828
Eskil,38.4017,33.4131,62.01,43,78,4.16,TR,1619291371
Yelizovo,53.1873,158.3805,33.8,100,90,4.47,RU,1619291372
Henties Bay,-22.116,14.2845,65.5,80,0,5.23,NA,1619290909
Kabare,-2.4683,28.8242,62.87,96,100,2.17,CD,1619291372
Barcelos,41.5388,-8.6151,60.93,94,20,2.3,PT,1619291135
Bengkulu,-3.8004,102.2655,75.4,89,100,4.03,ID,1619291050
Port Alfred,-33.5906,26.891,67.14,85,53,8.88,ZA,1619290832
La Crosse,43.8014,-91.2396,51.03,62,90,16.11,US,1619291212
Yellowknife,62.456,-114.3525,16.77,57,75,12.66,CA,1619290865
Hadejia,12.4498,10.0444,94.44,15,9,6.26,NG,1619291373
Kavieng,-2.5744,150.7967,80.62,79,48,7.31,PG,1619290879
Mahébourg,-20.4081,57.7,78.8,83,75,17.27,MU,1619290833
Mossamedes,-15.1961,12.1522,79.23,75,0,7.92,AO,1619291293
Port Blair,11.6667,92.75,81.64,75,4,6.6,IN,1619291280
Solnechnyy,50.7214,136.6319,26.6,77,96,7.78,RU,1619291374
Imbituba,-28.24,-48.6703,78.8,65,20,4.61,BR,1619290897
Sémbé,1.6481,14.5806,73.85,84,100,2.57,CG,1619291374
Constantine,36.365,6.6147,66.2,48,40,4.61,DZ,1619291245
Jaisalmer,26.9147,70.9181,85.48,16,0,10.0,IN,1619291375
Norman Wells,65.282,-126.8329,33.8,47,75,5.75,CA,1619290856
Necoclí,8.4234,-76.786,85.35,66,24,7.83,CO,1619291375
Kayseri Province,38.737,35.4968,60.8,44,0,1.14,TR,1619291376
Padang,-0.9492,100.3543,76.71,87,89,2.3,ID,1619291247
Berbérati,4.2612,15.7922,73.8,77,74,3.31,CF,1619291376
Rio Grande,-32.035,-52.0986,74.59,64,40,8.05,BR,1619291318
Ulaangom,49.9811,92.0667,34.43,43,100,13.94,MN,1619291376
Coyhaique,-45.5752,-72.0662,55.4,67,75,3.44,CL,1619290870
Fare,-16.7,-151.0167,79.93,72,100,6.51,PF,1619290990
Bayanday,53.0661,105.5139,33.15,99,100,1.7,RU,1619291377
Victor Harbor,-35.5667,138.6167,57.99,82,36,4.5,AU,1619291377
Hambantota,6.1241,81.1185,77.0,100,20,2.3,LK,1619290860
Westport,41.1415,-73.3579,67.57,24,1,16.11,US,1619291306
Chagoda,59.164,35.3285,37.49,91,100,6.49,RU,1619291378
Ayan,56.45,138.1667,21.83,77,36,9.82,RU,1619291378
Turukhansk,65.8167,87.9833,31.82,99,100,5.23,RU,1619291379
Musoma,-1.5,33.8,69.89,85,100,5.39,TZ,1619291379
Novo Aripuanã,-5.1206,-60.3797,86.94,71,62,0.76,BR,1619291379
Puerto Nariño,-3.7703,-70.3831,80.6,89,40,3.44,CO,1619291379
Lebu,-37.6167,-73.65,57.58,69,0,17.43,CL,1619290853
Sawākin,19.1059,37.3321,84.31,58,85,7.47,SD,1619291380
Santa Maria,-29.6842,-53.8069,66.2,100,90,3.44,BR,1619291380
Torbay,47.6666,-52.7314,53.6,35,40,25.32,CA,1619290813
Bubaque,11.2833,-15.8333,78.37,69,15,22.21,GW,1619290975
Walvis Bay,-22.9575,14.5053,60.8,82,0,6.91,NA,1619291381
Faya,18.3851,42.4509,58.1,72,75,16.11,SA,1619290882
Kirakira,-10.4544,161.9205,78.84,82,100,2.75,SB,1619290913
Souillac,-20.5167,57.5167,78.8,83,75,17.27,MU,1619290920
Sabha,27.0377,14.4283,80.67,22,0,15.23,LY,1619291381
Qandala,11.472,49.8728,86.0,64,76,6.13,SO,1619291382
Kamaishi,39.2667,141.8833,52.34,61,100,6.64,JP,1619290882
Saint Anthony,45.0205,-93.218,42.87,53,75,10.36,US,1619291273
Kemijärvi,66.7131,27.4306,32.74,95,100,8.55,FI,1619291382
Tuktoyaktuk,69.4541,-133.0374,23.0,80,40,6.91,CA,1619290832
Inírida,3.8653,-67.9239,84.88,78,97,0.81,CO,1619291383
Riohacha,11.5444,-72.9072,87.98,59,100,13.51,CO,1619291383
Lander,42.833,-108.7307,49.66,43,1,6.91,US,1619291377
Portland,45.5234,-122.6762,48.97,81,90,9.22,US,1619291313
Atar,20.5169,-13.0499,92.48,10,0,12.3,MR,1619290932
Pindobaçu,-10.7417,-40.3608,80.65,68,94,7.56,BR,1619291384
Kulhudhuffushi,6.6221,73.07,83.5,72,16,3.44,MV,1619291351
La Ronge,55.1001,-105.2842,25.7,46,100,5.75,CA,1619290852
Korem,12.5058,39.5228,63.54,42,100,7.47,ET,1619291385
Bowen,-20.0167,148.2333,68.0,94,90,11.5,AU,1619291281
The Valley,18.217,-63.0578,83.71,65,40,12.66,AI,1619291302
Prince Rupert,54.3161,-130.3201,48.18,76,1,6.91,CA,1619290989
Bibiani,6.4635,-2.3194,80.01,77,95,4.03,GH,1619291385
Moose Factory,51.2585,-80.6094,25.68,68,90,11.5,CA,1619291263
Renqiu,38.6989,116.0936,53.44,77,100,4.9,CN,1619291111
La Fria,8.2203,-72.2439,89.6,55,40,13.8,VE,1619291386
Port-Gentil,-0.7193,8.7815,82.4,83,75,5.75,GA,1619291305
Challapata,-18.9,-66.7667,56.57,17,1,15.68,BO,1619291386
Flin Flon,54.7682,-101.865,28.4,40,75,5.75,CA,1619291387
Mastic Beach,40.7668,-72.8521,63.37,30,1,11.5,US,1619291387
San Patricio,28.017,-97.5169,95.0,11,1,16.11,US,1619291229
Phang Nga,8.4509,98.5298,81.32,83,20,10.36,TH,1619291388
Waynesville,35.4887,-82.9887,50.02,72,100,7.0,US,1619291243
Gualeguay,-33.1416,-59.3097,72.66,61,33,11.92,AR,1619291388
Naze,28.3667,129.4833,64.09,70,99,19.1,JP,1619290804
Nanortalik,60.1432,-45.2371,41.86,74,100,8.1,GL,1619290878
Barentu,15.1139,37.5928,87.51,24,89,6.24,ER,1619291389
Avarua,-21.2078,-159.775,80.6,74,20,13.8,CK,1619290832
Jimeta,9.2833,12.4667,83.17,59,100,0.6,NG,1619291389
Babušnica,43.0597,22.4117,51.93,46,0,3.44,RS,1619291390
Paamiut,61.994,-49.6678,38.86,73,100,8.37,GL,1619290988
Hofn,64.2539,-15.2082,47.26,83,100,6.4,IS,1619291390
Kununurra,-15.7667,128.7333,57.2,77,9,5.64,AU,1619290900
Longyearbyen,78.2186,15.6401,26.6,63,75,3.44,SJ,1619290884
Sitka,57.0531,-135.33,51.8,40,1,5.75,US,1619290871
Vyyezdnoye,55.3815,43.7864,38.07,94,100,14.05,RU,1619291391
Bosaso,11.2842,49.1816,84.69,69,69,1.52,SO,1619291282
Cherskiy,68.75,161.3,17.47,95,95,10.33,RU,1619290886
Elliot Lake,46.3834,-82.6331,55.4,41,75,13.8,CA,1619291392
Fort Nelson,58.8053,-122.7002,41.0,33,40,5.75,CA,1619291392
Faanui,-16.4833,-151.75,80.44,73,100,9.69,PF,1619291241
Puerto Ayora,-0.7393,-90.3518,80.22,74,75,16.11,EC,1619290834
Setermoen,68.861,18.3486,32.0,55,75,5.75,NO,1619291392
Kampot,10.6167,104.1833,80.6,89,40,6.91,KH,1619291393
Rafrāf,37.1904,10.1837,59.9,63,0,2.3,TN,1619291393
Bahār,34.9072,48.4414,57.97,47,0,1.88,IR,1619291393
Talnakh,69.4865,88.3972,30.42,97,100,13.71,RU,1619290978
Hualmay,-11.0964,-77.6139,72.39,72,9,10.71,PE,1619291394
Barrow,71.2906,-156.7887,24.8,80,1,4.32,US,1619290787
Anadyr,64.75,177.4833,32.0,93,75,15.66,RU,1619290829
Koutiala,12.3917,-5.4642,98.6,17,48,4.61,ML,1619291394
Bathsheba,13.2167,-59.5167,84.2,58,40,19.57,BB,1619290866
Saldanha,-33.0117,17.9442,64.4,63,100,8.05,ZA,1619290933
Tiarei,-17.5333,-149.3333,82.2,69,75,6.91,PF,1619291260
Khartoum,15.5518,32.5324,97.0,21,3,3.0,SD,1619291395
Beyneu,45.3167,55.2,62.37,39,100,5.97,KZ,1619291395
Noumea,-22.2763,166.4572,75.63,94,75,2.3,NC,1619290934
Tual,-5.6667,132.75,84.49,66,100,16.06,ID,1619290856
Caravelas,-17.7125,-39.2481,79.86,71,69,5.68,BR,1619290953
Esperance,-33.8667,121.9,59.0,72,44,14.97,AU,1619290957
Río Gallegos,-51.6226,-69.2181,62.6,36,0,3.44,AR,1619291323
Danville,36.586,-79.395,54.37,94,90,3.0,US,1619291231
Lüderitz,-26.6481,15.1594,62.08,85,7,5.28,NA,1619291316
Zambezi,-13.5432,23.1047,71.8,53,100,3.98,ZM,1619291396
Leningradskiy,69.3833,178.4167,22.5,91,100,5.12,RU,1619290834
Port Elizabeth,-33.918,25.5701,59.0,94,0,6.91,ZA,1619290843
Sagua de Tánamo,20.5819,-75.2414,91.8,45,23,7.92,CU,1619291397
Machiques,10.0644,-72.545,96.8,37,51,1.66,VE,1619291397
Quelimane,-17.8786,36.8883,75.09,83,20,3.44,MZ,1619291398
Saint George,37.1041,-113.5841,78.8,18,100,1.01,US,1619290788
Atlantic Beach,30.3344,-81.3987,79.14,83,75,24.16,US,1619291326
Morehead,37.2711,-87.1764,51.93,93,90,8.05,US,1619290899
Vestmannaeyjar,63.4427,-20.2734,44.6,87,90,19.57,IS,1619291239
